email,state,role,password
borja.campos@udi.edu.co,1,student,pass
silvio.garay@udi.edu.co,1,student,pass
dionisio.aparicio@udi.edu.co,1,student,pass
aroa.menendez@udi.edu.co,1,student,pass
valerio.sabater@udi.edu.co,1,student,pass
yago.pavon@udi.edu.co,1,student,pass
adoracion.cerro@udi.edu.co,1,student,pass
tania.sabater@udi.edu.co,1,student,pass
martina.zamora@udi.edu.co,1,student,pass
leonor.rueda@udi.edu.co,1,student,pass
ruth.quintero@udi.edu.co,1,student,pass
aura.vicens@udi.edu.co,1,student,pass
mamen.garay@udi.edu.co,1,student,pass
buenaventura.arenas@udi.edu.co,1,student,pass
luis angel.caceres@udi.edu.co,1,student,pass
baltasar.mate@udi.edu.co,1,student,pass
judith.mayoral@udi.edu.co,1,student,pass
ingrid.leal@udi.edu.co,1,student,pass
inmaculada.lucena@udi.edu.co,1,student,pass
sabas.melero@udi.edu.co,1,student,pass
andres.camargo@udi.edu.co,1,student,pass
laura.mendoza@udi.edu.co,1,student,pass
felipe.ruiz@udi.edu.co,1,student,pass
camila.suarez@udi.edu.co,1,student,pass
mateo.herrera@udi.edu.co,1,student,pass
daniela.gomez@udi.edu.co,1,student,pass
julian.ortega@udi.edu.co,1,student,pass
valentina.nino@udi.edu.co,0,student,pass
sebastian.rojas@udi.edu.co,0,student,pass
mariana.prada@udi.edu.co,0,student,pass
federico.manzano@udi.edu.co,1,committee_leader,pass
jose luis.capdevila@udi.edu.co,1,professor,pass
erasmo.mena@udi.edu.co,1,professor,pass
ani.soto@udi.edu.co,1,committee_leader,pass
alonso.posada@udi.edu.co,1,committee_leader,pass
elba.ugarte@udi.edu.co,1,committee_leader,pass
sonia.huguet@udi.edu.co,1,professor,pass
nacio.pedraza@udi.edu.co,1,professor,pass
paula.cervera@udi.edu.co,1,professor,pass
walter.manuel@udi.edu.co,1,professor,pass
emelina.vilanova@udi.edu.co,1,committee_leader,pass
remigio.garcia@udi.edu.co,1,professor,pass
patricio.pazos@udi.edu.co,1,professor,pass
visitacion.olmedo@udi.edu.co,1,professor,pass
kike.marquez@udi.edu.co,1,committee_leader,pass
mariabelen.tejedor@udi.edu.co,1,committee_leader,pass
evaristo.luz@udi.edu.co,1,committee_leader,pass
ignacia.rozas@udi.edu.co,1,professor,pass
guadalupe.sabater@udi.edu.co,1,committee_leader,pass
octavio.llopis@udi.edu.co,1,professor,pass
alvaro.pena@udi.edu.co,1,committee_leader,pass
sandra.vargas@udi.edu.co,1,committee_leader,pass
diego.leon@udi.edu.co,1,professor,pass
karla.cardenas@udi.edu.co,1,committee_leader,pass
jorge.nino@udi.edu.co,1,professor,pass
monica.perez@udi.edu.co,1,committee_leader,pass
ricardo.molina@udi.edu.co,1,committee_leader,pass
natalia.duarte@udi.edu.co,0,committee_leader,pass
wilson.ramirez@udi.edu.co,0,professor,pass
paola.fuentes@udi.edu.co,0,professor,pass
test@example.com,1,research_staff,pass
laura.romero@udi.edu.co,1,research_staff,pass
andres.gomez@udi.edu.co,1,research_staff,pass
julieta.rivera@udi.edu.co,1,research_staff,pass
diego.perez@udi.edu.co,0,research_staff,pass
carlos.gomez@udi.edu.co,1,student,pass
daniela.rojas@udi.edu.co,1,student,pass
andres.perez@udi.edu.co,1,student,pass
valentina.torres@udi.edu.co,1,student,pass
juan.herrera@udi.edu.co,1,student,pass
camila.castro@udi.edu.co,1,student,pass
mateo.ramirez@udi.edu.co,1,student,pass
laura.sanchez@udi.edu.co,1,student,pass
felipe.moreno@udi.edu.co,1,student,pass
natalia.diaz@udi.edu.co,1,student,pass
lmartinez@udi.edu.co,1,professor,pass
patricia.gomez@udi.edu.co,1,professor,pass
ricardo.leon@udi.edu.co,1,professor,pass
valentina.rodriguez@udi.edu.co,1,student,pass
felipe.ospina@udi.edu.co,1,student,pass
sara.herrera@udi.edu.co,1,student,pass
samuel.franco@udi.edu.co,1,student,pass
andres.vargas@udi.edu.co,1,student,pass
juliana.suarez@udi.edu.co,1,student,pass
oscar.leon@udi.edu.co,1,student,pass
carlos.sanchez@udi.edu.co,1,student,pass
adriana.bautista@udi.edu.co,1,student,pass
kevin.sanchez@udi.edu.co,1,student,pass
monica.navarro@udi.edu.co,1,student,pass
karla.garcia@udi.edu.co,1,student,pass
karla.barrera@udi.edu.co,1,student,pass
jhon.arias@udi.edu.co,1,student,pass
jhon.herrera@udi.edu.co,1,student,pass
mateo.torres@udi.edu.co,1,student,pass
santiago.torres@udi.edu.co,1,student,pass
valentina.diaz@udi.edu.co,1,student,pass
daniel.cortes@udi.edu.co,1,student,pass
andres.ramirez@udi.edu.co,1,student,pass
alejandro.montoya@udi.edu.co,1,student,pass
felipe.valencia@udi.edu.co,1,student,pass
karen.gomez@udi.edu.co,1,student,pass
adriana.valencia@udi.edu.co,1,student,pass
sara.alvarez@udi.edu.co,1,student,pass
sebastian.torres@udi.edu.co,1,student,pass
karen.leon@udi.edu.co,1,student,pass
karen.rivera@udi.edu.co,1,student,pass
camila.mora@udi.edu.co,1,student,pass
daniel.lopez@udi.edu.co,1,student,pass
jorge.orozco@udi.edu.co,1,student,pass
hector.bautista@udi.edu.co,1,student,pass
diego.ruiz@udi.edu.co,1,student,pass
jessica.franco@udi.edu.co,1,student,pass
tatiana.suarez@udi.edu.co,1,student,pass
gabriel.torres@udi.edu.co,1,student,pass
daniel.rivera@udi.edu.co,1,student,pass
andres.sanchez@udi.edu.co,1,student,pass
miguel.herrera@udi.edu.co,1,student,pass
andres.cortes@udi.edu.co,1,student,pass
carolina.diaz@udi.edu.co,1,professor,pass
veronica.ospina@udi.edu.co,1,professor,pass
veronica.cardona@udi.edu.co,1,professor,pass
sara.castro@udi.edu.co,1,professor,pass
laura.arias@udi.edu.co,1,professor,pass
juan.campos@udi.edu.co,1,professor,pass
karen.rojas@udi.edu.co,1,professor,pass
laura.salazar@udi.edu.co,1,professor,pass
monica.rojas@udi.edu.co,1,professor,pass
hector.perez@udi.edu.co,1,professor,pass
sebastian.mejia@udi.edu.co,1,professor,pass
gabriel.ospina@udi.edu.co,1,professor,pass
karen.gomez2@udi.edu.co,1,professor,pass
felipe.torres@udi.edu.co,1,professor,pass
lorena.diaz@udi.edu.co,1,professor,pass
angela.herrera@udi.edu.co,1,professor,pass
carolina.salazar@udi.edu.co,1,professor,pass
karla.martinez@udi.edu.co,1,professor,pass
mateo.vargas@udi.edu.co,1,professor,pass
lorena.gomez@udi.edu.co,1,professor,pass
paula.ospina@udi.edu.co,1,professor,pass
paula.silva@udi.edu.co,1,professor,pass
juan.mejia@udi.edu.co,1,professor,pass
oscar.barrera@udi.edu.co,1,professor,pass
alejandro.castro@udi.edu.co,1,professor,pass
diego.orozco@udi.edu.co,1,professor,pass
carlos.martinez@udi.edu.co,1,professor,pass
oscar.valencia@udi.edu.co,1,professor,pass
camila.ruiz@udi.edu.co,1,professor,pass
karla.mejia@udi.edu.co,1,professor,pass
samuel.suarez@udi.edu.co,1,professor,pass
lucia.mora@udi.edu.co,1,professor,pass
oscar.rojas@udi.edu.co,1,professor,pass
carlos.bautista@udi.edu.co,1,research_staff,pass
juan.silva@udi.edu.co,1,research_staff,pass
samuel.ruiz@udi.edu.co,1,research_staff,pass
daniel.suarez@udi.edu.co,1,research_staff,pass
valentina.valencia@udi.edu.co,1,research_staff,pass
